Designator,Mid X,Mid Y,Rotation,Layer
C255,225.2353,-26.5,0.0,top
C256,231.2353,-26.5,0.0,top
C257,243.2353,-26.5,0.0,top
C258,249.2353,-26.5,0.0,top
C259,249.2353,-32.5,0.0,top
C26,66.1,-80.3,90.0,top
C260,243.2353,-32.5,0.0,top
C261,231.2353,-32.5,0.0,top
C262,225.2353,-32.5,0.0,top
C263,213.2353,-32.5,0.0,top
C264,207.2353,-32.5,0.0,top
C265,201.2353,-32.5,0.0,top
C266,195.2353,-32.5,0.0,top
C267,189.2353,-32.5,0.0,top
C268,183.2353,-32.5,0.0,top
C269,177.2353,-32.5,0.0,top
C27,5.775001,-66.599995,180.0,top
C270,171.2353,-32.5,0.0,top
C271,159.2353,-32.5,0.0,top
C272,153.2353,-32.5,0.0,top
C273,147.2353,-32.5,0.0,top
C274,141.2353,-32.5,0.0,top
C275,135.2353,-32.5,0.0,top
C276,129.2353,-32.5,0.0,top
C277,123.2353,-32.5,0.0,top
C278,117.2353,-32.5,0.0,top
C279,111.2353,-32.5,0.0,top
C280,105.2353,-32.5,0.0,top
C281,87.2353,-32.5,0.0,top
C282,81.2353,-32.5,0.0,top
C283,75.2353,-32.5,0.0,top
C284,69.2353,-32.5,0.0,top
C285,63.2353,-32.5,0.0,top
C286,57.2353,-32.5,0.0,top
C287,51.2353,-32.5,0.0,top
C288,45.2353,-32.5,0.0,top
C289,33.2353,-32.5,0.0,top
C290,27.2353,-32.5,0.0,top
C291,15.2353,-32.5,0.0,top
C292,9.2353,-32.5,0.0,top
C293,9.2353,-38.5,0.0,top
C294,15.2353,-38.5,0.0,top
C295,21.2353,-38.5,0.0,top
C296,27.2353,-38.5,0.0,top
C297,33.2353,-38.5,0.0,top
C298,39.2353,-38.5,0.0,top
C299,45.2353,-38.5,0.0,top
C3,2.405146,-66.499994,0.0,top
C300,51.2353,-38.5,0.0,top
C301,63.2353,-38.5,0.0,top
C302,69.2353,-38.5,0.0,top
C303,81.2353,-38.5,0.0,top
C304,87.2353,-38.5,0.0,top
C305,93.2353,-38.5,0.0,top
C306,99.2353,-38.5,0.0,top
C307,105.2353,-38.5,0.0,top
C308,117.2353,-38.5,0.0,top
C309,123.2353,-38.5,0.0,top
C310,129.2353,-38.5,0.0,top
C311,135.2353,-38.5,0.0,top
C312,141.2353,-38.5,0.0,top
C313,153.2353,-38.5,0.0,top
C314,159.2353,-38.5,0.0,top
C315,165.2353,-38.5,0.0,top
C316,171.2353,-38.5,0.0,top
C317,177.2353,-38.5,0.0,top
C318,189.2353,-38.5,0.0,top
C319,195.2353,-38.5,0.0,top
C320,207.2353,-38.5,0.0,top
C321,213.2353,-38.5,0.0,top
C322,219.2353,-38.5,0.0,top
C323,225.2353,-38.5,0.0,top
C324,231.2353,-38.5,0.0,top
C325,237.2353,-38.5,0.0,top
C326,243.2353,-38.5,0.0,top
C327,249.2353,-38.5,0.0,top
C328,249.2353,-44.5,0.0,top
C329,231.2353,-44.5,0.0,top
C330,225.2353,-44.5,0.0,top
C331,213.2353,-44.5,0.0,top
C332,207.2353,-44.5,0.0,top
C333,195.2353,-44.5,0.0,top
C334,189.2353,-44.5,0.0,top
C335,177.2353,-44.5,0.0,top
C336,171.2353,-44.5,0.0,top
C337,159.2353,-44.5,0.0,top
C338,153.2353,-44.5,0.0,top
C339,141.2353,-44.5,0.0,top
C340,135.2353,-44.5,0.0,top
C341,129.2353,-44.5,0.0,top
C342,123.2353,-44.5,0.0,top
C343,117.2353,-44.5,0.0,top
C344,105.2353,-44.5,0.0,top
C345,99.2353,-44.5,0.0,top
C346,87.2353,-44.5,0.0,top
C347,81.2353,-44.5,0.0,top
C348,69.2353,-44.5,0.0,top
C349,63.2353,-44.5,0.0,top
C350,51.2353,-44.5,0.0,top
C351,45.2353,-44.5,0.0,top
C352,33.2353,-44.5,0.0,top
C353,27.2353,-44.5,0.0,top
C354,9.2353,-44.5,0.0,top
C355,9.2353,-50.5,0.0,top
C356,15.2353,-50.5,0.0,top
C357,21.2353,-50.5,0.0,top
C358,27.2353,-50.5,0.0,top
C359,33.2353,-50.5,0.0,top
C360,39.2353,-50.5,0.0,top
C361,45.2353,-50.5,0.0,top
C362,51.2353,-50.5,0.0,top
C363,57.2353,-50.5,0.0,top
C364,63.2353,-50.5,0.0,top
C365,69.2353,-50.5,0.0,top
C366,75.2353,-50.5,0.0,top
C367,81.2353,-50.5,0.0,top
C368,87.2353,-50.5,0.0,top
C369,99.2353,-50.5,0.0,top
C370,105.2353,-50.5,0.0,top
C371,111.2353,-50.5,0.0,top
C372,117.2353,-50.5,0.0,top
C373,123.2353,-50.5,0.0,top
C374,129.2353,-50.5,0.0,top
C375,135.2353,-50.5,0.0,top
C376,141.2353,-50.5,0.0,top
C377,147.2353,-50.5,0.0,top
C378,153.2353,-50.5,0.0,top
C379,159.2353,-50.5,0.0,top
C380,171.2353,-50.5,0.0,top
C381,177.2353,-50.5,0.0,top
C382,31.95,-65.1,270.0,top
